ID,Approved,symbol,Approved,name,Status,Previous,symbols,Alias,symbols,Chromosome,Accession,numbers,RefSeq,IDs,,,,,,,,,,
AARSD1P1,AARSD1,pseudogene,1,Approved,Xq13.2,,,,,,,,,,,,,,,,,,,
ABCB7,ATP,binding,cassette,subfamily,B,member,7,Approved,ABC7,"EST140535,","Atm1p,",ASAT,Xq13.3,AF038950,NM_004299,,,,,,,,,
ABCD1,ATP,binding,cassette,subfamily,D,member,1,Approved,ALD,"AMN,","ALDP,",adrenoleukodystrophy,Xq28,Z21876,NM_000033,,,,,,,,,
ACAA2P1,ACAA2,pseudogene,1,Approved,Xp11.23,,,,,,,,,,,,,,,,,,,
ACE2,angiotensin,converting,enzyme,2,Approved,ACEH,Xp22.2,AF291820,,,,,,,,,,,,,,,,
ACE2-DT,ACE2,divergent,transcript,Approved,GS1-594A7.3,Xp22.2,NR_126564,,,,,,,,,,,,,,,,,
ACOT9,acyl-CoA,thioesterase,9,Approved,"CGI-16,","MT-ACT48,",ACATE2,Xp22.11,AF132950,NM_012332,,,,,,,,,,,,,,
ACSL4,acyl-CoA,synthetase,long,chain,family,member,4,Approved,"FACL4,","MRX63,",MRX68,"ACS4,",LACS4,Xq23,BC034959,NM_004458,,,,,,,,
ACTBP1,ACTB,pseudogene,1,Approved,Xp11.3,NG_022596,,,,,,,,,,,,,,,,,,
ACTG1P2,actin,gamma,1,pseudogene,2,Approved,"ACTL2,",ACTGP2,Yq11.222,NG_004636,,,,,,,,,,,,,,
ACTG1P10,actin,gamma,1,pseudogene,10,Approved,"ACTL1,",ACTGP10,Xp11.22,AL139396,NG_003039,,,,,,,,,,,,,
ACTG1P11,actin,gamma,1,pseudogene,11,Approved,Yq11.222,NG_004636,,,,,,,,,,,,,,,,
ACTR3BP1,ACTR3B,pseudogene,1,Approved,Yq11.21,NG_005799,,,,,,,,,,,,,,,,,,
ACTR3P2,ACTR3,pseudogene,2,Approved,Xq13.1,,,,,,,,,,,,,,,,,,,
